fold,test_month,bagged_ic,std_across_seeds,pred_corr_mean,seed_0_ic,seed_1_ic,seed_2_ic,seed_42_ic,seed_123_ic
14,2021-03-31,0.03908313966459898,0.03697654148916743,0.43627841282378793,0.07825726336509337,0.03397729483237558,0.025367634483983045,-0.03449005244731029,0.04764739255269799
15,2021-04-30,-0.05598794380219932,0.05744398918317189,0.28271265882805613,-0.1296723017156584,0.03235510909885735,-0.046334717842501906,-0.05771266284151741,0.013851592485579772
16,2021-05-28,0.032933433918336356,0.02639933119551097,0.4256870052448412,0.0647788129416987,-0.00035437835415010006,0.02283306741760812,0.047741315136247124,-0.0023714679419066195
17,2021-06-30,0.06801613804953607,0.07816889984022672,0.31004398042167813,0.0730294444490083,0.025981015259927416,0.1460157167466879,-0.06272213237748209,-0.051876588326720374
18,2021-07-30,-0.0714334179656962,0.04884359589924834,0.45458395311146094,-0.06209837278816799,0.0032845100276273336,-0.11981833665806436,-0.07981887285055926,0.006391116680452461
19,2021-08-31,-0.10721284823138157,0.03761839558127448,0.3109473269478797,-0.05628548344870055,-0.06805937703037772,-0.14004950844057126,-0.06331572834634941,-0.02601112831119696
20,2021-09-30,0.0761093837704093,0.06879104629391737,0.30868240804156033,0.015037883284046174,0.1392012047120662,0.1336909163732974,-0.03926054583323038,0.050853642522255806
21,2021-10-29,0.11880213910773117,0.03578974901262282,0.42668191165797,0.11671298538587624,0.0937087410704544,0.11978666430065799,0.058166592934079636,0.026578977321950338
22,2021-11-30,-0.14545727145054357,0.05674434241034162,0.16117348830596895,-0.14258880669451612,0.010596543892662352,-0.038459329801564884,-0.12095899194610739,-0.04171621537803274
23,2021-12-31,-0.32261692777042195,0.06150443666578515,0.3144591715567876,-0.13383619370599614,-0.31125611169236256,-0.20784350452850672,-0.2572279914379966,-0.17937639891673623
24,2022-01-31,-0.09923782272385566,0.05540933767259884,0.33629293829173135,0.025755142899511883,-0.11879145917823514,-0.00030437799063700444,-0.09903112501145546,-0.04300520071490037
25,2022-02-28,-0.05259659893537818,0.02054906824509999,0.3120072187811208,-0.045376309369627825,-0.028561992677677575,-0.052447319631680964,-0.030035165721699914,-0.0852104747105477
