================================================================================
RUNG 3A GAM AUDIT — n_splines hyperparameter sensitivity sweep
================================================================================
Loading panel: data/master_panel_v2.parquet
  46,811 rows, 119 months, 442 tickers, 27 features

================================================================================
n_splines = 3
================================================================================
  ERROR for n_splines=3: n_splines must be > spline_order. found: n_splines = 3 and spline_order = 3

================================================================================
n_splines = 5
================================================================================
  [gam_ns10] fold  32/58 | 2022-09 | n_train=34,848 | n_test= 422 | IC=+0.0374 | elapsed=563.7s
  [gam_ns10] fold  33/58 | 2022-10 | n_train=35,270 | n_test= 422 | IC=-0.1307 | elapsed=587.4s
  [gam_ns10] fold  34/58 | 2022-11 | n_train=35,692 | n_test= 423 | IC=-0.1207 | elapsed=610.1s
  [gam_ns10] fold  35/58 | 2022-12 | n_train=36,114 | n_test= 423 | IC=+0.1333 | elapsed=633.4s
  [gam_ns10] fold  36/58 | 2023-01 | n_train=36,537 | n_test= 424 | IC=+0.0819 | elapsed=656.3s
  [gam_ns10] fold  37/58 | 2023-02 | n_train=36,960 | n_test= 424 | IC=-0.0725 | elapsed=679.7s
  [gam_ns10] fold  38/58 | 2023-03 | n_train=37,384 | n_test= 424 | IC=-0.0906 | elapsed=702.7s
  [gam_ns10] fold  39/58 | 2023-04 | n_train=37,808 | n_test= 424 | IC=+0.1735 | elapsed=726.1s
  [gam_ns10] fold  40/58 | 2023-05 | n_train=38,232 | n_test= 425 | IC=+0.0778 | elapsed=749.6s
  [gam_ns10] fold  41/58 | 2023-06 | n_train=38,656 | n_test= 425 | IC=+0.0435 | elapsed=773.9s
  [gam_ns10] fold  42/58 | 2023-07 | n_train=39,081 | n_test= 425 | IC=-0.0240 | elapsed=798.4s
  [gam_ns10] fold  43/58 | 2023-08 | n_train=39,506 | n_test= 426 | IC=-0.0060 | elapsed=822.9s
  [gam_ns10] fold  44/58 | 2023-09 | n_train=39,931 | n_test= 427 | IC=-0.2560 | elapsed=848.0s
  [gam_ns10] fold  45/58 | 2023-10 | n_train=40,357 | n_test= 428 | IC=+0.0819 | elapsed=874.2s
