,EarningsYield,GrossProfitability,AssetGrowth,Accruals,Momentum12_1,NetDebtEBITDA,SUE,AnalystRevision,AnalystDispersion,RevisionBreadth,Beta,IVOL,ShortInterestRatio,InstOwnershipChg
2017-11-30,0.1351473897913131,0.003406548121306956,-0.05656864134064676,-0.0461381076026135,-0.1114695067424715,0.0033015372594114977,-0.051253403968965626,0.00017995570317255472,0.20258999125573418,-0.012920943821601626,0.27151252410825955,0.129979499039909,0.032394215309612215,
2017-12-29,-0.2044128086124601,0.21220406354948065,0.05696812766692917,-0.07921219900544528,0.1726143328276362,-0.14177843894943018,0.010064548961289287,0.14254654080722928,-0.014575187292732958,0.04981636474485582,0.2458450508041716,0.25172873204205787,,
2018-01-31,-0.09221553739017223,0.09609447544319459,0.15293629337512943,-0.030537241993796784,0.2535687003628982,-0.09634349211872872,-0.048317246698232626,0.11341108910104332,-0.05569286236099067,0.017414763254162312,0.10697608030586514,0.06513216586545145,0.09099154095651488,
2018-02-28,-0.18397085744260008,0.056053497414951504,0.021184120893626986,-0.22543013392116937,-0.07677625967047386,0.11577483805922843,-0.11926854485222915,-0.16325677093075053,-0.027487589527126356,-0.05063944776168821,-0.2080819981917865,0.04241671178091081,0.23917923162758692,
2018-03-29,-0.14369099820502884,-0.1361333647410903,-0.09538278564119115,-0.10104301426443525,-0.07967362849480603,-0.030818523474217777,0.07024062458790409,-0.03969680986961227,0.06117624552488239,-0.03004811047062569,-0.06686777360888388,0.04280191752938409,,
2018-04-30,-0.1990105625911304,0.22540187483792884,0.18009023776829064,-0.1998990686886756,0.27504684377680055,-0.0732029438816737,-0.09678641084789974,0.07020119700967067,0.08211749784476985,0.029490496775889125,0.34144132715054015,0.18011457412496842,0.18021426320992978,
2018-05-31,-0.05815123858246923,0.20376375447915154,0.03202773074838773,-0.08788084101144608,-0.2132805012238831,0.06492202150406322,-0.16440034464955236,-0.0666942562207373,-0.09014286821951926,-0.13744311847158547,-0.3009454055262436,-0.05957328620306696,0.08252599926014768,
2018-06-29,0.15483601242410067,0.007614395827475119,-0.030844738568763692,0.1380733915504331,-0.19882205772260347,-0.04701753575010103,0.010545678370937067,-0.15007097165213765,-0.14654519692106716,-0.06851148578366655,-0.02631793039463761,-0.15525285403738456,,
2018-07-31,-0.22346821605485173,0.3133224514172334,0.23100331208328473,-0.17451900782030652,0.35804343032813396,-0.16417480169590792,-0.056061013210376445,0.07278411429115408,-0.06914647468778641,0.1798444692651542,0.06523501353528698,-0.049554748294358617,0.06431379856306942,
2018-08-31,-0.14879365800857638,0.11664559603189109,-0.008027436765625555,-0.09103490072662339,0.05114466856847703,0.001336913158425252,0.04714371341561053,0.13013312557316245,-0.11112621111406847,0.15351347809544963,-0.1284193751443236,-0.026073555903951086,0.006888877760786102,
